model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-2.7B,RTX 5060,21,key,0,-4.173592641843972,4.326047207446808,8.49963984929078,4.326047207446808
OPT-2.7B,RTX 5060,21,key,1,-0.08922300947473404,0.1756029061391844,0.26482591561391844,0.1756029061391844
OPT-2.7B,RTX 5060,21,key,2,0.04319546746869459,0.04319611677886746,6.493101728718975e-07,0.04319611677886746
OPT-2.7B,RTX 5060,22,key,0,-4.722046764184397,4.726701019503546,9.448747783687942,4.726701019503546
OPT-2.7B,RTX 5060,22,key,1,-0.1818587932180851,0.14588700964095744,0.32774580285904253,0.1818587932180851
OPT-2.7B,RTX 5060,22,key,2,-0.01801670696718473,-0.01801551656520113,1.1904019835973223e-06,0.01801670696718473
OPT-2.7B,RTX 5060,23,key,0,-4.036333665780142,4.052568151595745,8.088901817375888,4.052568151595745
OPT-2.7B,RTX 5060,23,key,1,-0.1217131919049202,0.16689955258200354,0.28861274448692376,0.16689955258200354
OPT-2.7B,RTX 5060,23,key,2,0.0225797342070451,0.02258065406312334,9.198560782380794e-07,0.02258065406312334
OPT-2.7B,RTX 5060,24,key,0,-4.154560062056738,4.033798758865248,8.188358820921986,4.154560062056738
OPT-2.7B,RTX 5060,24,key,1,-0.17903992132092197,0.11396259280806738,0.29300251412898937,0.17903992132092197
OPT-2.7B,RTX 5060,24,key,2,-0.032653267501939275,-0.032652672300947476,5.952009917986611e-07,0.032653267501939275
OPT-2.7B,RTX 5060,25,key,0,-4.313885195035461,3.9810920877659575,8.294977282801419,4.313885195035461
OPT-2.7B,RTX 5060,25,key,1,-0.184246523160461,0.14089338153812056,0.32513990469858156,0.184246523160461
OPT-2.7B,RTX 5060,25,key,2,-0.02147482472954067,-0.021474121310186726,7.034193539451339e-07,0.02147482472954067
OPT-2.7B,RTX 5060,26,key,0,-4.2291389627659575,4.101368572695035,8.330507535460992,4.2291389627659575
OPT-2.7B,RTX 5060,26,key,1,-0.15157496675531915,0.17339092281693264,0.3249658895722518,0.17339092281693264
